,ANZSCO_TITLE,ANZSCO_CODE,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25
33,Hospitality Workers,43,3648,3511,4001,3724,3779,3586,4038,4447,5020,5159,4886,4069,3764,3580,3394,2095,1309,1533,2374,2823,3201,4050,5219,5435,5667,5697,6947,7630,8319,7933,7054,5800,5527,7476,9643,10099,9133,8804,10519,11403,12164,12217,12325,12789,12303,12360,11200,9524,8414,8037,9214,9139,9216,8712,9075,9343,9327,8815,7589,6766,6789,6578,6882,6662,6997,6540,6376,6250,6384,6402,6031,5184,4129,3356,3251,3103,3117,2987,3139,3272,3642,3871,3784
34,Protective Service Workers,44,735,748,811,775,759,727,728,693,735,754,749,669,650,651,715,644,576,535,628,714,788,827,881,865,845,865,982,1072,1132,1100,1072,1032,1079,1175,1301,1234,1199,1145,1283,1232,1280,1285,1433,1594,1682,1689,1598,1430,1440,1478,1646,1546,1543,1494,1575,1475,1382,1305,1254,1114,1029,1001,1078,1065,1051,996,1010,1006,1037,1009,942,846,845,834,926,891,919,864,908,913,948,944,928
35,"Sports, Travel and Personal Service Workers",45,1756,1680,1863,1695,1738,1664,1732,1818,1947,2011,1852,1579,1560,1566,1474,909,575,659,1033,1276,1467,1616,1738,1578,1679,1735,2030,1956,1965,1869,1834,1730,1724,1968,2267,2154,2129,2179,2714,2710,2875,2777,2962,3050,3126,3131,2883,2445,2431,2493,2980,2750,2733,2538,2679,2719,2741,2779,2581,2225,2178,2253,2508,2396,2304,2239,2272,2417,2599,2647,2466,2070,2082,2090,2344,2166,2226,2199,2359,2384,2515,2525,2400
36,CLERICAL AND ADMINISTRATIVE WORKERS,5,27938,28509,32522,30581,30662,29187,30504,29619,29919,29122,27675,24102,24109,24990,26111,18895,13723,12524,16610,18887,20348,21564,23368,22462,23916,26213,32416,34275,35882,35522,36586,36167,36112,37107,39230,36119,36303,37316,45458,45623,47235,45681,47247,47407,46987,46660,44311,38425,38393,38953,46161,43790,44406,41901,43175,42684,41824,41573,39006,33899,33766,34711,39365,38260,37998,36155,35435,34517,34943,35295,33291,29065,29046,30009,34378,32741,32812,31680,32665,31805,32306,31886,30853
37,Numerical Clerks,55,5760,5919,6727,6364,6382,5976,6182,5867,5945,5809,5606,4945,4897,5047,5273,3871,2770,2339,2957,3293,3454,3589,3839,3670,3880,4311,5446,5814,6088,6064,6404,6509,6617,6701,6975,6340,6460,6843,8493,8514,8607,8073,8332,8371,8423,8401,8014,6942,7013,7139,8446,7909,7956,7354,7515,7492,7415,7439,6965,6095,5994,6132,6893,6688,6621,6330,6193,5992,6083,6177,5870,5103,5206,5425,6296,6016,6008,5777,5943,5729,5646,5472,5306
38,"Clerical and Office Support Workers, Couriers",56,616,617,701,641,657,615,645,641,668,676,629,530,487,487,499,376,267,250,338,429,477,540,582,559,548,581,692,756,792,813,810,810,827,911,973,881,863,876,1037,1038,1106,1088,1109,1079,1057,1069,1009,900,853,827,934,896,892,811,847,864,881,874,830,705,688,677,775,735,716,667,661,666,774,885,863,771,653,635,716,709,782,693,672,586,661,749,777
39,Other Clerical and Administrative Workers,59,4465,4627,5276,5067,5022,4775,4922,4744,4818,4715,4547,4013,4049,4189,4396,3321,2524,2253,2873,3283,3659,3892,4170,3910,4015,4270,5263,5562,5788,5678,5868,5971,6096,6257,6490,5853,5901,6041,7340,7289,7490,7201,7446,7543,7529,7536,7180,6264,6228,6291,7446,7164,7357,7017,7250,7164,7042,7035,6660,5815,5777,5924,6787,6646,6764,6569,6538,6433,6486,6588,6181,5397,5356,5464,6266,6006,6136,6010,6249,6116,6177,6114,5897
40,"Office Managers, Administrators and Secretaries",5A,5011,4999,5660,5295,5338,5117,5311,5195,5186,5044,4709,4102,4062,4278,4430,3162,2157,1834,2413,2710,2907,3045,3295,3198,3457,3849,4758,5067,5362,5403,5666,5578,5518,5515,5758,5203,5198,5287,6476,6499,6785,6621,6922,6936,6823,6733,6423,5698,5753,5965,7048,6839,6954,6647,6830,6727,6556,6444,6024,5254,5162,5318,6025,6012,6039,5740,5589,5361,5363,5377,5095,4496,4465,4613,5247,4983,5011,4836,4973,4812,4886,4786,4616
41,"General-Inquiry Clerks, Call Centre, Receptionists",5B,12077,12340,14155,13220,13265,12704,13434,13167,13305,12886,12183,10510,10608,10990,11508,8168,6021,5852,8036,9172,9855,10497,11480,11128,12013,13191,16261,17080,17841,17568,17840,17300,17049,17728,19033,17843,17890,18272,22110,22292,23244,22687,23442,23475,23152,22921,21686,18619,18550,18739,22277,20983,21245,20075,20728,20431,19924,19778,18536,16029,16139,16660,18892,18175,17853,16843,16453,16062,16243,16277,15277,13298,13368,13868,15860,15028,14880,14364,14829,14566,14929,14758,14243
42,SALES WORKERS,6,12586,12554,14286,13234,13334,12908,13528,13458,13829,13785,12928,11031,10930,11371,11872,8376,6110,5933,8510,10168,11489,12850,13755,12700,12777,13417,16282,16982,17867,17563,17710,17263,18120,19988,21921,19787,19408,19417,23661,23429,24302,23493,24248,24707,25272,25695,23971,19749,18575,18284,21337,20121,20373,19567,20210,20964,21542,22098,20192,16829,16136,16443,18604,18220,18419,18084,17816,17964,18881,19719,18362,15209,14654,14806,16892,15780,15962,15805,16657,16741,17654,17963,17140
